Category,Method,JiNan/anon_3_4_jinan_real,,,JiNan/anon_3_4_jinan_real_2000,,,JiNan/anon_3_4_jinan_real_2500,,,Hangzhou/anon_4_4_hangzhou_real,,,Hangzhou/anon_4_4_hangzhou_real_5816,,
,,ATTâ†“,AWTâ†“,AQLâ†“,ATTâ†“,AWTâ†“,AQLâ†“,ATTâ†“,AWTâ†“,AQLâ†“,ATTâ†“,AWTâ†“,AQLâ†“,ATTâ†“,AWTâ†“,AQLâ†“
,FixedTime,,,,,,,,,,,,,,,
,MaxPressure,,,,,,,,,,,,,,,
,IntelliLight,,,,,,,,,,,,,,,
,FRAP,,,,,,,,,,,,,,,
,PressLight,,,,,,,,,,,,,,,
,MetaLight,,,,,,,,,,,,,,,
,MPLight,,,,,,,,,,,,,,,
,DynamicLight,,,,,,,,,,,,,,,
,UniTSA,,,,,,,,,,,,,,,
,LLMLight,,,,,,,,,,,,,,,
,VLMLight,,,,,,,,,,,,,,,
,E2ELight,,,,,,,,,,,,,,,
